Title,Date Written,Rating,Current/Former,Job Title,Location,Recommendation?,Outlook,Main Text,Pros,Cons
"Extremely challenging, potentially very rewarding","Apr 17, 2021 ",4.0,Current, Manager,,Recommend,Business Outlook,Share,"You can define a path and as long as you are able to bring money in the door, you can find a place to be supported and to build your book of business however you see fit.","Hyper-political, and internal competition abounds. Expect your ideas to get ripped off and iterated constantly, especially if you have the misfortune of teaming up with consultants who haven't sold any work recently. You will work as much as you can bear to. Learn to say no, because you will never meaningfully be told, ""you've done enough, you can take a break now."""
Culture,"Aug 4, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Currently, at this point in time the culture at PwC is truly like no other employer's.","Currently, at this point in time I do not have any cons for this company."
Great place to get started,"Aug 7, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,The pay is great and the benefits are top in the industry,Long work hours and minimal flexibility. Certain teams are better than others.
Good learning opportunity,"Aug 2, 2021 ",5.0,Current, Deals Senior Associate,,Recommend,Business Outlook,Share,Lots of learning opportunities Great support base Various clients and industries to work on,Projects and hours can be difficult at Turnover can be high which is discouraging at the junior levels Experience vary based on managers
Meh,"Aug 11, 2021 ",4.0,Current, Digital Assurance and Transparency,,Recommend,Business Outlook,Share,Diversity and Inclusion is an integral part of the company,No work life balance. Very monotonous at times. Busy Season sucks.
Great place to work at,"Jul 15, 2021 ",5.0,Current, PwC Risk Assurance Associate,,Recommend,Business Outlook,Share,"The firm has been very good in allowing me to dive into opportunities that align with my goals. As long as you communicate and be transparent with your team, you will be respected and given chances to dive into strong initiatives.",The only downside is not being able to talk to peers as much while working remote
Own your career,"Jul 30, 2021 ",5.0,Former, Manager,,Recommend,Business Outlook,Share,"Great people, structured systems in place for mentorship and growth, real time recognition and feedback",Staffing on projects is often not in your control so it can be hard to get projects you are particularly interested in
Absolutely awful company to work for - avoid like the plague,"Sep 6, 2021 ",1.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,Recent company wide pay increases,"- Absolutely zero work-life balance - Incredibly understaffed and high turnover rate (workload for those who remain increasing exponentially) - Quality of new associates joining is absolutely abysmal, so much time wasted up-skilling clueless people who end up quitting after 6 months anyway - Work 7 days a week"
The people is what makes or breaks your experience,"Mar 2, 2021 ",4.0,Current, Audit Senior Manager,,Recommend,Business Outlook,Share,"There's tons of opportunities for global mobility given the expansive reach of the firm. Mobility is fairly easy. However, you cannot leave mobility decisions and timing to HR at all or to a career coach that's passive. If you want to move around and try different things you have to be willing to reach out to people yourself and take charge of it.","Too much work year round. I really hate the staffing model. People are literally looked at like a block of hours in a day. It's really off putting that they treat people like machine hours that you can just plant from one place to another. Their rationale being that all PwC employees are the same because they go through the same trainings. However they forget that there's other human elements to it like people's learning curve. Everyone's personal capacity and intelligence. Their thought process certainly doesn't mirror the fact that if we were all the same, their system of bucketing people by performance makes zero sense at all. Then everyone should be compensated equally at each level. So HR needs to make up their mind. You can't pick both."
Great Place to Start a Career,"Jul 29, 2021 ",5.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,"Young Environment, Decent Flexibility, Slow Summers, Decent Pay, Fast Paced, Engaging and Challenging, Great Experience early on","Long hours early in career, non-market competitive pay, high turnover and oftentimes short staffing, difficult clients are common"
Great company mediocre pay,"Aug 11, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"Fringe benefits-charging meals, wellness rewards, health insurance, wealth builder","lackluster pay, hours required, white mans world"
Busy but worth it!,"Aug 9, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Too many perks and benefits. Challenging environment for those who seek career growth.,Not too much social life outside work.
Great reputation,"Aug 9, 2021 ",5.0,Current, Manager,,Recommend,Business Outlook,Share,Brand speaks for itself. The people are awesome.,The hours are crazy and the pay is mediocre.
DAT,"Aug 10, 2021 ",4.0,Current, Digital Assurance and Technology Associate,,Recommend,Business Outlook,Share,Extremely convenient and positive interview experience and transitioning with the pandemic,"have no particular cons at the moment, more to come"
Work culture,"Jul 23, 2021 ",4.0,Current, Experienced Audit Associate,,Recommend,Business Outlook,Share,"Is awesome, people are nice and caring. You just have to reach out and you will see everyone helps. I love the culture.",Busy season is intense. You have to be very much prepare for it. Long hours and all the perks are gone with covid.
I truly love this firm...and the people.,"Jul 18, 2021 ",5.0,Current, Administrative Assistant,,Recommend,Business Outlook,Share,"Flexible work hours, lots of vacation, upskilling, well being rewards, regular feedback, great resources, ability to establish connections across the globe.","Must be very adaptable, constant changes"
"Good company, but work/life balance can be difficult","Jul 22, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Various opportunities within the firm, good environment for intense fast paced learning, and employees are fairly young and exciting.","Work/life balance can be suspect, and compensation at lower levels seem to be lower than the market."
Great Company and Benefits,"Aug 9, 2021 ",4.0,Current, Tax Senior Associate,,Recommend,Business Outlook,Share,Great benefits and tons of resources to help you grow,Work lots of hours over required goals
Good place to work,"Aug 9, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"caring people, clear growth path, a lot of learning oppertunities",work life balance could not be that great
Wall Street hours without the Wall Street pay,"Aug 17, 2021 ",2.0,Current, Associate,,Recommend,Business Outlook,Share,This company has invested a lot in marketing and public relations and so looks good on a resume,The hours are extreme and technical work is being moved offshore so the learning opportunities are greatly decreasing
Great place to work,"Aug 10, 2021 ",4.0,Current, Instructional Designer,,Recommend,Business Outlook,Share,"Remote work, flexible working hours",ups and downs in amount of work; it's either feast or famine
Okay,"Sep 10, 2021 ",3.0,Current, Associate,,Recommend,Business Outlook,Share,Higher future earnings potential from work you do here,"No work life balance, not much flexibility, low pay"
summer internship,"Aug 5, 2021 ",4.0,Current, START,,Recommend,Business Outlook,Share,Great environment and staff Digital Upskilling Great way to learn PwC systems,Virtual' few shadowing opportunities. Allowed to do little since being set up for an advanced internship later.
Good place to work,"Jul 15, 2021 ",5.0,Current, Audit Associate,,Recommend,Business Outlook,Share,"The firm is focusing on pushing employees to take a step back from work to refresh, especially while working from home where there is no distinct difference between home and work.","Being salary means that overtime hours are not calculated into pay. However, the base pay is more than adequate for employees with zero experience."
"Great place to gain experience fast, but no WLB","Aug 24, 2021 ",3.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,"You get to work on a lot of different teams and with different clients, so you have your hands in a lot of areas of the business. It is a great place to start your career.","With the recent increased turnover, existing staff are getting stretched thin."
Great Place to Work,"Jul 31, 2021 ",5.0,Current, Senior Tax Associate,,Recommend,Business Outlook,Share,Pay is good Benefits are good Co-workers are great Management is good Allowed to work remotely,The hours can be long. The use of a lot of home grown tech which isn't the most useful.
Pwc,"Aug 3, 2021 ",4.0,Former, Experienced Associate (Assurance),,Recommend,Business Outlook,Share,"Work for one of the best in the industry, serve great clients, and be on teams with smart people",Underpaid for the amount of work and and effort put in
"Good Company, Long Hours","Aug 5, 2021 ",5.0,Current, Project Manager,,Recommend,Business Outlook,Share,Management is very Transparent. Manager the business well,Long hours. Project teams with too much politics. Preferential treatment in rating and bonus
Culture of Caring is Strong,"Aug 5, 2021 ",5.0,Current, Experienced Assurance Associate,,Recommend,Business Outlook,Share,"Great team, who actually cares about you Willing to incorporate your interests into the engagement Continuous mentorship",Busy work and significant hours
Great Place to Start your career,"Aug 5, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"Experience, People, Exposure, Expertise, Training","Workload, Stress, Time Management, Tap Out"
Great place to work,"Aug 11, 2021 ",4.0,Former, Associate,,Recommend,Business Outlook,Share,"Flexible management , challenging projects","Lots of travel. To be expe, but still"
Great group of people,"Aug 6, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,The people are great. Never worked with someone I didn’t like.,The hours during busy season and potentially during off season.
Great company,"Aug 4, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,"Great company to work for, stellar benefits and great people",Expect to work long hours. I think this is the case at any accounting firm.
good,"Sep 9, 2021 ",3.0,Current, Accountant,,Recommend,Business Outlook,Share,Great benefits Family oriented good work environment,Overworked and too much time dedicated to work during busy seasons
"If you like kool aid, youll like it here","Aug 5, 2021 ",2.0,Current, Executive Assistant,,Recommend,Business Outlook,Share,"Remote, flexible hours means you can go get groceries during downtime and work off the hours later. Very dependant on who you assist, some are very busy some arent.","A lot of kool aid in the form of Tim Ryan's Firmwide Webcasts. Expect every buzzword, every huge corporate firm cliche, and a lot of Good Old Boys club behavior. Below standard benefits, checklisty ""inclusion"" practices and a dont cause problems, don't bug your bosses too much atmosphere."
Good Work Environment,"Aug 11, 2021 ",5.0,Current, Tax Consultant,,Recommend,Business Outlook,Share,Work on a good Team,Can get busy during the year.
Intern,"Aug 11, 2021 ",5.0,Current, Intern,,Recommend,Business Outlook,Share,"Great workplace, great people, great benefits","long hours, minimum flexibility to changing hours."
Good Learning experience,"Sep 9, 2021 ",3.0,Former, Director,,Recommend,Business Outlook,Share,variety of experience and exposure to various industries,Work Life balance can be difficult
Great job,"Aug 6, 2021 ",5.0,Current, Executive Assistant,,Recommend,Business Outlook,Share,Lots of flexibility and learning of numerous concepts of business,Cant think of anything I would change
Great company,"Aug 8, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"Everything - training, culture, growth, people",None - sometimes travel can be tough but great place
great!,"Aug 10, 2021 ",5.0,Current, Risk Assurance Manager,,Recommend,Business Outlook,Share,Great company to work for,Nothing that I can note at this time
Senior Associate-PwC,"Sep 10, 2021 ",2.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,Great learning opportunity and resume builder.,"Long hours. Competitive ""cut-thought"" working environment."
Great team,"Aug 2, 2021 ",5.0,Current, Senior Auditor,,Recommend,Business Outlook,Share,"Very rewarding experience, learned a lot. Work with very smart people","Long hours, high stress. Demands of job can bleed into personal life."
Great Place to start career,"Aug 3, 2021 ",5.0,Current, Financial Due Diligence Associate,,Recommend,Business Outlook,Share,"Great benefits, very smart colleagues and great training",Long unpredictable work hours that you may not have in other roles
A good company that moved in the right direction culturally as time went on.,"Aug 2, 2021 ",4.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,"The benefits, training, and infrastructure.",The lack of defined solutions for upward feedback.
PwC,"Sep 8, 2021 ",3.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Good company to work for.,Too many overtime hours to not be getting paid for overtime.
Best company culture,"Jul 31, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Get to work with some of the smartest in the industry Great benefits Great progression opportunity Continuing Ed,Starting pay is a little lower than expected but bonuses help
Lost its appeal after COVID,"Aug 7, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Pre-COVID, really no company could top their development and training.","They’ve really mismanaged since COVID. No support, pay is really not that great although they did attempt to make up for it this last raise. Interested to see how it plays out long term."
great,"Aug 9, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,PwC is a great company.,you have to be willing to work hard
Meh,"Jun 10, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,"I’ve had phenomenal opportunities presented to me. Truly believe some opps are better than if I was in industry where it’s a much slower pace. I feel that leadership does care about our people, but it’s not always implemented. Many are burnt out.","It’s a much faster pace. I know I’m sitting on the higher end of hours & utilization, ~55/week for the last 2 years (note: at the time of writing, salary info is as of last performance review). Have been berated by people for things not my fault. Although issues have been resolved."
Great firm,"Aug 10, 2021 ",5.0,Current, Audit Intern,,Recommend,Business Outlook,Share,Great culture and learning environment,Busy season hours are stressful
Pros and Cons,"Jul 23, 2021 ",5.0,Current, Senior Salesforce Developer,,Recommend,Business Outlook,Share,"To summarize in one sentence, it is a place that I am proud to work at.","As noted by many, if you want to get ahead here you will need to work very hard and extra hours."
Brutal but opportunities await,"Sep 7, 2021 ",3.0,Former, Tax Associate,,Recommend,Business Outlook,Share,Good exit opps Training resources Holiday party was fun,Low pay Long hours Office politics Clashing cultures within teams
Great Company,"Aug 9, 2021 ",5.0,Current, Talent Acquisition,,Recommend,Business Outlook,Share,"Benefits, Culture, D&I, Work/Life Balance","n/a , n/a, n/a, n/a, n/a"
Inspiring CEO,"Jul 26, 2021 ",5.0,Former, Director,,Recommend,Business Outlook,Share,"learning environment for those who like a challenge, solid clients ,smart teams, competitive comp and benefits",juggling demands in a matrix mgmt format
Great place to learn and grow,"Aug 2, 2021 ",5.0,Current, Management Consulting Manager,,Recommend,Business Outlook,Share,Great place to learn and grow,"Competitive among peers, need to have the support network to go far"
"Exciting work, always new challenges","Jul 28, 2021 ",5.0,Former, GMC,,Recommend,Business Outlook,Share,"Never bored, always challenged Working with foreign territories Learned a lot",Not a lot of down time No opportunities for promotion/advancement Pay could have been better
Audit Senior Associate,"Aug 3, 2021 ",4.0,Current, PwC Senior Associate,,Recommend,Business Outlook,Share,"Flexibility, easy summers, good career growth potential, fun work enviornment","Compensation below industry, work can be tedious, very busy winters"
-,"Aug 9, 2021 ",5.0,Current, PwC Management Consulting,,Recommend,Business Outlook,Share,"Flexibility, speed of learning, experience","Hours, speed of work, project structure"
Be ready to work crazy hours,"Jul 2, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Paternity leaves, challenging engagements, partners are highly skilled in general you’ll learn a lot from them","The firm now struggles to recruit associates willing to work hard or just being a minimum smart. Managers to Directors have to continuously work down, picking up on senior’s tasks. Result is that you will work 70+ hours per week at all times."
Learn a lot and work a lot,"Jul 26, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,Opportunities to learn Great people Variety of clients Good leadership,Expect to work a ton of hours. Work life balance is talked about a lot but not taken seriously
Ok,"Sep 6, 2021 ",3.0,Current, Associate,,Recommend,Business Outlook,Share,Good people for the most part. Not a terrible salary starting out.,Public accounting hours as expected.
tax specialist,"Sep 2, 2021 ",2.0,Current, Tax Specialist,,Recommend,Business Outlook,Share,good on resume and professional experience and good benefits,the busy season sucks and the work you do feels meaningless. the pay could be better too
Good place to be now,"Aug 2, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,Currently in a growth phase with a good outlook,Goal post constantly changing. Goal post constantly changing.
Interned to Full Time,"Jan 19, 2021 ",5.0,Current, Associate Consultant,,Recommend,Business Outlook,Share,"Great opportunities to learn, work with smart people in a community that is inclusive and supportive. A big thing PwC pushes is ""Be Well, Work Well"" which helps some with work-life balance as they understand the strain we are managing. Personally, the mantra of PwC is something I love - ""Our purpose is to solve complex problems and promote trust in society."" They don't just put that on a billboard in the office, it feels like something PwC is driven and focused on doing which makes me a proud employee.","Challenging work, you have to be a self motivator, willing to learn and apply yourself. Work-life balance can be difficult to manage. I've found that success is found through a sink or swim approach. You have to get up and volunteer to get things done and form relationships that will want to work with you in the future. There are tons of resources and support, you just have to be proactive in utilizing them. I often dream of retirement and or changing jobs to something less demanding but I feel the personal growth and professional experience is worth it."
Great firm to grow your career,"Jul 22, 2021 ",5.0,Current, Talent Acquisition Manager,,Recommend,Business Outlook,Share,Exposure to cutting edge client solutions while PwC moves the needle in the market to transform in order to remain competitive.,Limited advanced in IFS Roles unless you apply for them directly.
Good starting job out of college,"Sep 2, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,You get a lot of experience and exposure to a variety of clients,There are long hours during busy season
Great People,"Aug 7, 2021 ",4.0,Current, Risk Assurance Experienced Associate,,Recommend,Business Outlook,Share,Good Pay Flexible Good Benefits Good Vacation Package,Long Hours Strict work Weak coaching Strict reviews
Very good,"Jul 26, 2021 ",4.0,Current, Intern,,Recommend,Business Outlook,Share,"The workers, the interest for knowing you and make you feel an important part of the company. Also the benefits",Extended time of the actual hours one gets paid for
College Full-Time Hire,"Jul 19, 2021 ",4.0,Current, Deals Valuations Associate,,Recommend,Business Outlook,Share,You get good at modeling and financial theory,"The pay is way too low for the hours worked. The managers treat it like IB, but pay you like it is audit. Toxic, finger-pointing workplace in the Bay Area office."
Meh,"Sep 2, 2021 ",3.0,Former, Senior Associate,,Recommend,Business Outlook,Share,- Great experience - Resume builder - Cool people,- Way too much work - Salary not justified by amount of work - Pretty boring work
Great work environment,"Jun 8, 2021 ",5.0,Former, Data Scientist,,Recommend,Business Outlook,Share,- great work environment - people very open and communicative - great exchange of resources and communication - leadership does what they preach - great inclusion and diversity - many supporting resources - great amount of time off with all the holidays and company closures,"There are not many, but: - company always tries to save a buck; which makes sense as consulting companies always have been like this. - promotions are not representative of knowledge or skills, rather what works for current work environment - with new emerging technologies management learns as it goes"
good,"Aug 3, 2021 ",4.0,Current, Analyst,,Recommend,Business Outlook,Share,work place for everyone to be at,none of my experience had cons
Best Consulting Company,"Jul 26, 2021 ",5.0,Current, Director,,Recommend,Business Outlook,Share,Very employee focussed and provide the best professional services experience.,Salary can be low compared to industry companies. Also independence restrictions may pose challenges in personal investments.
Awful place to work and crushing workloads justifying employment perks,"Aug 17, 2021 ",3.0,Current, FS Consultant,,Recommend,Business Outlook,Share,Great pay for new employees looking to but their teeth in a new IT career field without any experience,poor leadership from FS IT Privacy in how projects are administered and followed up from cradle to grave for entry level employees
PwC Review,"Aug 5, 2021 ",5.0,Current, Experienced Associate In Audit,,Recommend,Business Outlook,Share,-Strong work culture -Cool clients -Solid training,-Not a strong culture of interactivity -Tedious work
Decent experience,"Aug 3, 2021 ",4.0,Former, Senior Associate,,Recommend,Business Outlook,Share,"solid pay, a lot of experienced associates",no work life balance in the area I worked
Great place,"Aug 3, 2021 ",5.0,Current, Director%2C International Tax,,Recommend,Business Outlook,Share,"Great place to learn, awesome people, big clients.","Long hours, lots of politics/ red tape"
Great People,"Jul 21, 2021 ",4.0,Current, Experienced Associate,,Recommend,Business Outlook,Share,So far in my career (less than 2 years) people are always willing to teach/help and I have been on a couple different teams and enjoyed meeting new people,Busy season hours are super rough.
Committed to Change,"Jun 8, 2021 ",4.0,Current," Manager, Strategic Change",,Recommend,Business Outlook,Share,"Leadership is responsive in most cases when feedback is provided, but this is similar to a competitive sport where you need to build a winning team and it will have its ups and downs along the way",The politics are very complex in some areas of the business
Works ok,"Sep 5, 2021 ",2.0,Current, Director,,Recommend,Business Outlook,Share,There is a chance to work remote,"The egos at PwC are amazing, so smug"
Review,"Aug 6, 2021 ",5.0,Current, International Tax Senior Manager,,Recommend,Business Outlook,Share,Experience and so much more,Hours and lots of them
Good place to start your career,"Jul 26, 2021 ",4.0,Current, Operations Transformation Consultant,,Recommend,Business Outlook,Share,You get to work with a lot of smart people your own age,No work-life balance and you may not get proper recognition
"Good benefits, but competitive work culture","Jun 20, 2021 ",3.0,Current, Technology Associate,,Recommend,Business Outlook,Share,you get paid well (kind of not really when the hours start to add up) great people PwC tries to send you gifts and organize events which is nice you get a bonus,"really long hours work culture is very competitive, people say don't work long hours and then send emails at 10 pm very high expectations and difficult clients this is old business - in the middle of corporate and new business (tech firms) - if you're looking for a job that will give you time to recover, care about your mental health and give you good PTO - then look elsewhere"
Good,"Aug 3, 2021 ",4.0,Current," International Tax, Director",,Recommend,Business Outlook,Share,Good company for great business experience.,Pay not as high as it could be elsewhere.
Good colleagues but partners can be toxic,"Aug 22, 2021 ",3.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Enjoy working with the people who are really smart and hardworking.,Company don’t walk the talk about nurturing better wlb. No point introducing benefits when partners don’t comply with guidance. E.g weekend work and protected time.
Good place to work at,"Jul 22, 2021 ",4.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Great place to work in, good pay, flexibility",Lots of traveling which is both a pro and a con. Decision for PwC employees highly dependent on clients needs
Good place to start a career,"Feb 12, 2021 ",4.0,Current, Experienced Associate ,,Recommend,Business Outlook,Share,"You'll gain a really good baseline of professionalism - time management, client interaction, presentations, note-taking, 'managing up', how to learn quickly, quality work quality, etc. There's also VAST amount of learning resources - you can find training on a variety of different technologies, expertises, etc. The pay isn't so bad either, especially if you're traveling as you can basically expense your living (sans rent) for four days a week.","They preach work-life balance by emphasizing that you shouldn't be working too long on client engagements...but then expect you to contribute 1-5 hours per day on 'reinvest' work. Business dev, internal stuff, thought leadership...in many sense they expect you to pick up a part-time job on top of your full-time job As with any large corporation, you begin to feel like just a number and that you're contributing work to a huge, vast enterprise and you can't see your impact. It's really hard to get promoted unless your a total type A and on top of everything / willing to sell your soul to it."
good,"Aug 5, 2021 ",4.0,Current, Accountant,,Recommend,Business Outlook,Share,good it was not much,good working scenarios and nice
PwC Audit Review,"Jul 10, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"lighter more flexible summers, surrounded by intelligent and motivated coworkers close in age","horrible hours during busy season (Jan-March), often tedious boring work in the details (would be nice to see the big picture occasionally) or something that requires more critical thinking in the gray areas"
Non Audit,"Jul 12, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Lots of experience / client facing. Great place if you like to feel like the boss of yourself,Hours and workload are intense and match client expectations. No real support or leadership.
Experience,"Jul 21, 2021 ",4.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Great resources to digital tools and large clients.,Very dependent on engagement team. Tone from upper management is not always reflected on teams.
100,"Aug 3, 2021 ",5.0,Current, Tax Associate,,Recommend,Business Outlook,Share,Good pay and great experience.,Bad management in some groups.
Great company,"Aug 1, 2021 ",5.0,Current, Consultant,,Recommend,Business Outlook,Share,Good work with good people and staff,Sometimes there are long hours
Good Consulting Firm,"Jul 21, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,Tons of opportunities to grow. Networking is important.,"Work-Life Balance could be one, but usually depends upon the project you are on."
Good place,"Jul 30, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"Good people, learn a lot",can have long hours based on line of service
Mixed experience,"Aug 27, 2021 ",3.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Smart people to learn from; good benefits,Gruesome work hours; doesn't value personal strengths but strictly chargeable work hours (more efficient employees are sometimes at disadvantage therefore)
Okay Place To Work Given the Brutal Nature of The Work,"Jun 14, 2021 ",4.0,Former, Risk Assurance Experienced Associate,,Recommend,Business Outlook,Share,The company was taking tangible steps to make it a better place to work. Great exposure to a wide variety of companies. The digital accelerator programs were promising.,The nature of the work is brutal. Very long hours and demanding deadlines with insufficient time and resources to get the work done. Its also hard to feel ownership of your work when you are changing clients so frequently.
Great experiences to learn from,"Jul 25, 2021 ",4.0,Current, Senior Manager,,Recommend,Business Outlook,Share,"Digital acumen and ipskilling , unbeatable experiences and learning opportunities",Work/ and life balance is a struggle at times
Room for Improvement,"Jul 22, 2021 ",3.0,Former, Senior Consultant,,Recommend,Business Outlook,Share,Good People Great Salary (if you have an MBA or a terminal degree),Performative allyship Disingenuous commitment to DEI (depending on the partner your vertical aligns to but there are partners who are genuinely commited to DEI) Loan Forgiveness Program is not as competive as the other Big 4 firms
Worth the work,"Jul 26, 2021 ",4.0,Current, Audit Associate,,Recommend,Business Outlook,Share,Interesting clients In office benefits in addition to standard benefits,potential need to still work at client sites long winter hours
Tough but good place to start a career,"Jul 6, 2021 ",5.0,Current, Associate,,Recommend,Business Outlook,Share,"Global reach, huge clients, lots of career and personal growth. Lots of upward mobility and expectations are clear",No work life balance. Most of your incoming class will leave by year 3-5 as professional demands often encroach on personal life obligations.
Excellent Entry Level,"Jul 7, 2021 ",4.0,Current, Tax Process Specialist,,Recommend,Business Outlook,Share,"PwC is inclusive, diverse, and supportive. Work is flexible and allows you to learn and grow. Tons of perks and benefits. Work life balance is encouraged.",The financial compensation is not enough and during busy season you will work long days for a few months.
Campus recruiters should be jailed for selling a fake dream to college students,"Aug 6, 2021 ",2.0,Former, Experienced Tax Associate,,Recommend,Business Outlook,Share,"Teaches you how to be a professional, for better and for worse.","Teaches you very quickly what is important out of your career and your life. At that point, you are probably locked into the job for at least one year while you figure out how to exit."
Great Experience,"Jul 26, 2021 ",4.0,Former, Human Resources Manager,,Recommend,Business Outlook,Share,Solid company with competitive salary and benefits,Being a very mature organization it can be at times highly bureaucratic
Great Place,"Jul 31, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,"Great benefits, people and environment",Long hours for busy season
Typical Big 4 Experience,"Jul 23, 2021 ",2.0,Current, Senior Associate ,,Recommend,Business Outlook,Share,"- Great exposure to different clients and industries - Learn a lot - Work with some great, smart people - Decent benefits","- Long hours - Little to no consideration for work life balance - Pay does not equate the hours you put in - Lots of office politics that play into promotions, ratings, career opportunities (more than usual)."
Great Company,"Jul 28, 2021 ",5.0,Current, Senior Associate,,Recommend,Business Outlook,Share,"People, growth, opportunities, compensation, learning and development","Work/Life balance, staffing shortages, heavy workload, complex"
very good,"Jul 29, 2021 ",5.0,Current, Intern,,Recommend,Business Outlook,Share,very good company. I enjoy working here,none that I know of
PwC Review,"Aug 30, 2021 ",3.0,Current, Tax Associate,,Recommend,Business Outlook,Share,- PTO pay out - Flexible vacation - Interesting experiences,- Inconsistencies in scheduling with short turnaround
Great Opportunity for Accountants,"Jul 22, 2021 ",5.0,Former, Associate,,Recommend,Business Outlook,Share,Great opportunity to grow and learn. Meet lots of people. Good exit opportunities.,Long work hours and high pressure to hit deadlines.
Not bad for starter,"Aug 24, 2021 ",3.0,Former, Anonymous Employee,,Recommend,Business Outlook,Share,Great exit opportunities offered if you stick out for more than 2 years,The environment really depends on the team you meet. No work life balance guaranteed.
Finance Analyst,"Jul 30, 2021 ",4.0,Former, Finance Analyst,,Recommend,Business Outlook,Share,Good environment to expand knowledge,Long hours depending on the season
Good Starter Job,"Jul 27, 2021 ",4.0,Current, Audit Senior Associate,,Recommend,Business Outlook,Share,Solid pay Easy to progress Decent learning environment,Long Hours Repetitive work Not the best work life balance
Loved it,"Jul 24, 2021 ",5.0,Former, Tax Manager,,Recommend,Business Outlook,Share,Loved it. Very friends peoples,The hardest things is the long hours
Overall pretty great,"Jul 23, 2021 ",4.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Great people, benefits and opportunities",Long hours are the norm and weekend work is expected especially during busy times
Work here!,"Jul 20, 2021 ",5.0,Current, Anonymous Employee,,Recommend,Business Outlook,Share,"Flexibility, great benefits, awesome parental leave, no lay offs during covid!",Honestly none that I can think of. Great team of people!
Great Place to Work,"May 12, 2021 ",5.0,Current, Business Development Strategist,,Recommend,Business Outlook,Share,"Salary Benefits, long-lasting relationships, promotions in client services are abundant, team oriented environment. Extremely pleased with the response and care given to employees during COVID. I'm very happy I began my career here and still work here after 5 years. They do like to hire within the firm. Big expectations for the future and expect employees to be adequately trained.","Market pay isn't competitive, in client services and business development be aware that deadlines require late nights. Depending on your service role, it's tough to move sectors even with years of experience in the same office (word of advice be willing to relocate)."
Great place to start your career,"Jul 22, 2021 ",4.0,Current, Associate,,Recommend,Business Outlook,Share,Great digital transformation effort and big learning curve to grow,Long hours and very hierarchal structure
Great culture.,"Jul 16, 2021 ",5.0,Current, Assurance Associate,,Recommend,Business Outlook,Share,Helpful colleagues that want to see you grow and learn.,Performance reviews are skewed and structured making it hard to understand where you are lacking or developing.
"Great flexibility and team, the actuarial practice is isolated from the rest of the firm","May 31, 2021 ",4.0,Former, Experience Actuarial Associate,,Recommend,Business Outlook,Share,"very flexible, can work from home even prior to the pandemic lockdown the team has great culture, willing to help one another; it's a culture full of trust from peers",lower pay comparing to other big 4 firms difficult to be involved in consulting projects; campus hires are mainly staffed on audits promotion metrics are not clear; it is more time based than performance based. progression is relatively slower than some other big 4 firms
good,"Jul 29, 2021 ",4.0,Current, Finance Manager,,Recommend,Business Outlook,Share,good environment skill development and,good track to go alright
N/A,"Jul 27, 2021 ",5.0,Current, Technical Consultant,,Recommend,Business Outlook,Share,its a great place to work,long hours and working on proposals
Great company to work for,"Jul 22, 2021 ",5.0,Current, Senior Manager,,Recommend,Business Outlook,Share,Great culture at this company,There are not many downsides
